case_id	stem	cc	group	sources
103381-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_01.c
103382-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_02.c
103383-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_03.c
103384-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_04.c
103385-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_05.c
103386-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_06.c
103387-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_07.c
103388-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_08.c
103389-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_09.c
103390-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_10.c
103391-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_11.c
103393-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_13.c
103394-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_14.c
103395-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_15.c
103396-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_16.c
103397-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_17.c
103398-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_18.c
103399-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_43.cpp
103400-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_62b.cpp
103401-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_63b.c
103402-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_64b.c
103403-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_01.c
103404-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_02.c
103405-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_03.c
103406-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_04.c
103407-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_05.c
103408-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_06.c
103409-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_07.c
103410-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_08.c
103411-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_09.c
103412-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_10.c
103413-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_11.c
103415-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_13.c
103416-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_14.c
103417-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_15.c
103418-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_16.c
103419-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_17.c
103420-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_18.c
103421-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_43.cpp
103422-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_62b.cpp
103423-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_63b.c
103424-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_64b.c
103425-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_01.c
103426-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_02.c
103427-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_03.c
103428-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_04.c
103429-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_05.c
103430-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_06.c
103431-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_07.c
103432-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_08.c
103433-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_09.c
103434-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_10.c
103435-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_11.c
103437-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_13.c
103438-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_14.c
103439-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_15.c
103440-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_16.c
103441-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_17.c
103442-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_18.c
103443-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_43.cpp
103444-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_62b.cpp
103445-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_63b.c
103446-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_64b.c
103447-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_01.c
103448-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_02.c
103449-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_03.c
103450-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_04.c
103451-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_05.c
103452-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_06.c
103453-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_07.c
103454-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_08.c
103455-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_09.c
103456-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_10.c
103457-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_11.c
103459-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_13.c
103460-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_14.c
103461-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_15.c
103462-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_16.c
103463-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_17.c
103464-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_18.c
103465-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_43.cpp
103466-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_62b.cpp
103467-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_63b.c
103468-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_64b.c
103488-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_62b.cpp
103489-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_63b.c
103490-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_64b.c
103510-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_array_malloc_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_array_malloc_partial_init_62b.cpp
